ID,AGENCY,PARK,PRD_DSCR,Site Type,CAT,FACILITY_ZIP,Longitude_Degree,Longitude Direction,Longitude Minute,Longitude Second,Latitude Degree,Latitude Direction,Latitude Minute,Latitude Second,Customer Zip Code,State,Country,START_DATE,END_DATE,ORD_DATE,Equipment 1,Equipment 1 QTY,# of People
1763018189,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99504,AK,USA,21-Dec-14,23-Dec-14,7-Oct-14,,,2
1731857685,USFS,RAVEN CABIN,RAVEN (Y02S),CABIN NONELECTRIC,SITE,99689,139,West,30,45.78,59,North,33,15.03,99654,AK,USA,29-Oct-14,1-Nov-14,18-Aug-14,,,3
1731857685,USFS,RAVEN CABIN,RAVEN (Y02S),CABIN NONELECTRIC,SITE,99689,139,West,30,45.78,59,North,33,15.03,99654,AK,USA,29-Oct-14,1-Nov-14,18-Aug-14,,,3
1737854435,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Caribou Island Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,4-Oct-14,5-Oct-14,25-Aug-14,,,4
1737854435,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Caribou Island Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,4-Oct-14,5-Oct-14,25-Aug-14,,,4
1762572011,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Doroshin Bay Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99672,AK,USA,10-Oct-14,11-Oct-14,6-Oct-14,,,2
1762572011,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Doroshin Bay Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99672,AK,USA,10-Oct-14,11-Oct-14,6-Oct-14,,,2
1764733331,USFS,MIDDLE DANGEROUS RIVER CABIN,MIDDLE DANGEROUS RIVER (Y09),CABIN NONELECTRIC,SITE,99689,139,West,5,38,59,North,24,48,99801,AK,USA,25-Oct-14,28-Oct-14,11-Oct-14,,,3
1764733331,USFS,MIDDLE DANGEROUS RIVER CABIN,MIDDLE DANGEROUS RIVER (Y09),CABIN NONELECTRIC,SITE,99689,139,West,5,38,59,North,24,48,99801,AK,USA,25-Oct-14,28-Oct-14,11-Oct-14,,,3
1765984590,USFS,STANEY CREEK CABIN,STANEY CREEK (T13),CABIN NONELECTRIC,SITE,99921,133,West,9,9,55,North,49,14,99507,AK,USA,27-Nov-14,30-Nov-14,14-Oct-14,,,4
1765984590,USFS,STANEY CREEK CABIN,STANEY CREEK (T13),CABIN NONELECTRIC,SITE,99921,133,West,9,9,55,North,49,14,99507,AK,USA,27-Nov-14,30-Nov-14,14-Oct-14,,,4
1761101316,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Kelly Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99635,AK,USA,27-Nov-14,28-Nov-14,3-Oct-14,,,4
1761101316,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Kelly Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99635,AK,USA,27-Nov-14,28-Nov-14,3-Oct-14,,,4
1759792047,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,22-Nov-14,23-Nov-14,30-Sep-14,,,4
